model,alias,price
A15,C11/C12/C15/A15S/NARZO20/A35/NARZO30A/RMV3,420
A16,A16S/C25/NAEZO50A,450
A1K,RMC2,390
A3S,A5/RMC1/RM2,435
A52,A72/A92,530
A53,RM7i/A32/RMC17/A33-2020/A53-2020,480
A57 NEW,A57S/A574G/A774G/A17NEW4G/A585G/A17K/A77S/OnePlusN20SE,475
A71,A71,415
F11,A9/A9X,465
F19,F19PRO,595
A83(GLASS),A83,480
RENO 3 PRO,RENO 3 PRO,620
F17 PRO,F17 PRO,735
NOTE 11 (4G),MI NOTE 11S 4G/POCO M4 PRO 4G,675
MI 9 POWER,POCO M3/MI9T/NOTE9 4G,475
MI12 (4G/5G),MI12 5G/MI12 4G/POCOM6PRO 5G/MINOTE12R/MI12 NEW,710
MI 13C,MI13C 4G/MI13C 5G/POCOM6 5G/MI13C/POCO C65,525
MI 10 PRIME,MI 10PRIME OG,605
MI 11 PRIME,MINT 11E/MINT 11R/MI10 5G/MI 11 PRIME5G/POCOM4 5G/POCOM5 OG,610
NOTE 10 PRO ,MINOTE10PRO/MINOTE10PRO MAX/MINOTE11PRO 4G/MINOTE11PRO 5G/POCOX4PRO 5G/MI11i 5G/MINOTE11PRO+/POCOX4PRO 5G/INCELL FULL GLASS WITH RING ,660
MI A3 (NEW),MIA3NEW/POCO C61 ,660
NOTE-8,MI NOTE 8T FULL SIZE,465
NOTE-7,7S/7 PRO FULL SIZE,465
NOTE-9(5G),POCO X3,630
NOTE 11E,MINOTE11E/MINOTE11R/MI10 5G/MI11PRIME/MI11PRIME 5G/POCOM4 5G/POCOM5 ,610
MI 9 PRIME,MI9/MI9PRIME/POCOM2,465
MI 3S,MI3S/MI3 IPS ,390
MI12C,POCO C55,500
MI Y2,MIS2/MIY2 IPS ,460
MI4X,MI4X IPS ,395
MI 6 PRO,MI6 PRO,585
NOTE- 5 PRO,MINOTE5PRO/MINOTE5,455
MI 7,Y3,475
NOTE 10 (5G),MINOTE10T5G/POCOM3PRO 5G/MINOTE10 5G/MINOTE11SE,610
MI 5 NEW,HM5,480
5A,MI 5A,395
9A,MI 9C/9i/9 AT/ 9A SPORT/10A/POCO C3/POCO C31,440
4A,MI 4A,395
7A,MI 7A,390
8A,MI 8,430
A1 NEW,MI A1+/A2 NEW/A2+/POCO C50/POCO C51,480
A1 OLD,MI 5X,420
NOTE 11 (5G),MI NOTE 11T 5G/MI NOTE 11S 5G/POCO M4 PRO 5G,640
NOTE 5,MI 5+/MI 5 PLUS,460
NOTE 6 PRO,MI NOTE 6,515
NOTE 8 PRO,MI NOTE 8 PRO,525
NOTE 9,MI 10X,520
NOTE 9 PRO,NOTE 9S/MI NOTE 9 PRO MAX/NOTE 10 LITE/POCO M2 PRO,520
X6812,HOT 11S,725
X680,HOT 9 PLAY/X680B/X680E/X680C,520
X662,HOT 11/KG7/KG6/KH7,520
ID5A,X622/ID3K/CF7/CF8,520
X663,X663,670
X695,NOTE 10 PRO,750
IN1,X5515,480
KC1,KC6,460
KF6,SPARK 7T/SPARK 7/KG6,450
KG5K,VISION 3/SPARK 8C/SPARK 9,485
X612,SMART HD,485
X626,X627/X626B/X627V/INFINIX S4/SMART 3PLUS/CAMON i4/CAMON 11S,515
X650,HOT 8/HOT 8 PRO/KC2/KC8/CC7/SPARK 4,445
X652,KC3/CC6/S5/S5 LITE/CAMON 12AIR,495
X653,BB4K/BB4/SMART 4,445
X675,HOT 11 2022,640
X657,Ke5,450
X655,HOT-9,495
X682,HOT-10,530
X6525,Spark-20,570
X688,HOT-10 Play,510
X669,HOT-30i,500
X6815,Zero(5G),720
X6517,Smart 7,475
KG5K,POP-5 Lite,485
X693,Pova-2,680
BF7,Spark 10C,495
X6816,HOT 12 Play,595
KB3,X625,515
X660,S5 Pro,830
KB2,Tecno KB2/X5516/iACE2X,480
X689,X6823/SMART 6+/HOT 10S,520
RM 3PRO,RM 3 PRO,470
RM C21Y,C25Y,455
RM C31,RM C31,485
RM C53,N53,500
8i,Realme 8i/Realme 9i/Narzo 50/A96 all uni,715
Narzo 30 Pro,NARZO 30 PRO,610
RM C55,Realme C55/N55/C67 5G/F23 5G/A58 4G/A98 5G/A79 5G/Realme11 5G/11x 5G/Narzo60X 5G/1+nord N30 5G/1+nord CE3 lite 5G,630
RM C30S,RM C30S,480
RM C35,REALMEC35/NARZO50A PRIME ,480
RM C20,C20/C21/C11 2021/Narzo 50i ,455
RM 10 Pro,REALME10PRO 5G/REALME10PRO,640
RM 1 ,REALME1/F7YOUTH,470
RM XT Incell,REALMEXT/K5/REALMEX2/RENOZ/K1/R15X INCELL FULL GLASS WITH RING,585
RM X50 Pro,1+Nord/One Plus Nord/Realme X50 PRO,745
RM X,REALMEX/K3/RENO2Z/RENO2F INCELL FULL GLASS WITH RING ,640
C3,RM 5,420
RM 5 PRO,RM 5 PRO,470
A10,A10/M10/A105/M105,430
A260,A260/A2 Core,400
J260,J260/J2 Core,400
A11,A11/M11/A115/M115,490
A10S,A10S/A107,435
A20S,A20S /A207,480
M20,M20/M205F/M205 INCELL FULL GLASS WITH RING,465
A52(4G/5G),A52/A72/A92/A52-2020/A92-2020/A72-2020 ,625
A33(5G),A33 5G/A336 INCELL FULL GLASS WITH RING,635
A70,BF6/A05S/A70/P55 5G,570
A34,SAM A34/A346 INCELL FULL GLASS WITH RING,690
S20FE,S20FE,770
A22(5G),A22 5G/F42 5G/A226/E426,575
A32(4G),A32 4G,1040
